City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Evanston,US,42.0411,-87.6901,86.56,50,75,9.22,broken clouds
287,Imbituba,BR,-28.24,-48.6703,55.09,89,100,7.0,overcast clouds
288,Opuwo,NA,-18.0607,13.84,65.25,19,34,6.38,scattered clouds
289,Kahului,US,20.8947,-156.47,86.02,62,20,20.71,few clouds
290,Golfito,CR,8.639,-83.166,82.56,81,74,4.76,broken clouds
291,Grindavik,IS,63.8424,-22.4338,53.55,82,75,14.97,broken clouds
292,Kodinsk,RU,58.6881,99.1844,50.18,99,100,3.98,overcast clouds
293,Margate,GB,51.3813,1.3862,68.7,76,65,4.0,broken clouds
294,Lincoln,US,40.8,-96.667,89.96,41,20,19.57,few clouds
295,Tamiahua,MX,21.2667,-97.45,87.69,64,0,12.44,clear sky
296,Half Moon Bay,US,37.4636,-122.4286,92.53,69,75,12.66,broken clouds
297,Limbuhan,PH,11.8838,124.0501,80.56,77,100,6.31,overcast clouds
298,Katherine,AU,-14.4667,132.2667,52.12,50,1,8.05,clear sky
299,Te Anau,NZ,-45.4167,167.7167,44.33,91,12,1.14,few clouds
300,Ngama,TD,11.7833,17.1667,72.72,90,100,5.82,overcast clouds
301,Kyren,RU,51.6828,102.1408,44.31,94,87,0.76,overcast clouds
302,Uniontown,US,39.9001,-79.7164,82.09,38,19,3.51,few clouds
303,Meadow Lake,US,34.8014,-106.5436,84.45,46,90,7.74,overcast clouds
304,Teguise,ES,29.0605,-13.564,70.02,73,20,16.11,few clouds
305,Menongue,AO,-14.6585,17.691,59.9,18,4,2.84,clear sky
306,Shirokiy,RU,49.758,129.523,58.8,90,100,3.62,light rain
307,Ligayan,PH,4.6533,119.4706,82.49,72,98,8.84,overcast clouds
308,Rio Tercero,AR,-32.173,-64.1141,57.79,17,0,12.82,clear sky
309,Macheng,CN,31.1783,115.0319,83.82,69,99,4.56,overcast clouds
310,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.64,72,2,10.76,clear sky
311,San Francisco,US,37.7749,-122.4194,94.75,72,20,14.0,few clouds
312,Constitucion,CL,-35.3333,-72.4167,54.68,69,0,14.54,clear sky
313,Thongwa,MM,16.7619,96.5278,77.16,90,96,5.7,overcast clouds
314,Paranaiba,BR,-19.6772,-51.1908,65.19,69,96,23.29,overcast clouds
315,Flinders,AU,-34.5833,150.8552,62.38,79,100,3.0,light rain
316,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,71,10,30.85,clear sky
317,Quelimane,MZ,-17.8786,36.8883,71.98,90,54,8.57,broken clouds
318,Puro,PH,12.4841,123.3827,79.88,80,100,3.33,overcast clouds
319,Saryg-Sep,RU,51.5,95.6,41.67,90,90,3.24,overcast clouds
320,Newport,GB,51.5877,-2.9984,68.77,91,100,15.68,overcast clouds
321,Biloela,AU,-24.4167,150.5,53.38,63,0,1.3,clear sky
322,Rudsar,IR,37.1376,50.288,76.98,60,0,3.51,clear sky
323,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,85.46,67,95,1.32,overcast clouds
324,Souillac,MU,-20.5167,57.5167,70.18,78,20,10.36,few clouds
325,Alofi,NU,-19.0595,-169.9187,73.29,56,33,20.71,scattered clouds
326,San Vicente,AR,-26.6167,-54.1333,48.34,68,17,6.13,few clouds
327,Cabra,ES,37.4725,-4.4421,76.69,24,0,5.17,clear sky
328,Moyale,KE,3.5167,39.0584,67.96,51,61,3.65,broken clouds
